Type,unique sample ID or Species Name,Image file ,which object number/speciman number (MCZ...),Which slide in the powerpoint,KPg. 66.04; Modern=0,Ichthyolith Type,Shape,Spades,Anterior shape (old Base),Anterior Marginal Macro Texture,Anterior Marginal Micro Texture,Posterior shape (old Tip),Posterior Marginal Macro Texture,Posterior Marginal Micro Texture Description,Planes of Symmetry,# of cusps,Cusps definition,Cusp Similarity,Cusp Relative Length,Ridge System,Number of ridge segments,Number of independent ridges,Ridge Outgrowths,Ridge Orientation,Central Ridge(s) or trough Disparity,Central Ridge Directionality,Central Ridge Width,Non-Central Ridge Directionality,Non-Central Ridge Width,Central Ridge System Shape,Central Ridge System Shape planes of symmetry,Ridge length,Ridge Definition,Ridge/Ridge Height,Ridge/Trough Angularity,# of depression,Depression(s) type,Location of depression,Shape of dimple(s),Secondary Ridge Features,Surface texture location,Surface texture coverage,Overall base shape,Mound,Base width/length,Crown to base ratio,Number of Grooves,Root foramen opening shape,Root foramen location,Peduncle height:width,Crown:root angle,Base to crown connection location,Notes,Numerical Only Code (autofills),Ichthyolith Type,Shape,Spades,Anterior shape (old Base),Anterior Marginal Macro Texture,Anterior Marginal Micro Texture,Posterior shape (old Tip),Posterior Marginal Macro Texture,Posterior Marginal Micro Texture Description,Planes of Symmetry,# of cusps,Cusps definition,Cusp Similarity,Cusp Relative Length,Ridge System,Number of ridge segments,Number of independent ridges,Ridge Outgrowths,Ridge Orientation,Central Ridge(s) or trough Disparity,Central Ridge Directionality,Central Ridge Width,Non-Central Ridge Directionality,Non-Central Ridge Width,Central Ridge System Shape,Central Ridge System Shape planes of symmetry,Ridge length,Ridge Definition,Ridge/Ridge Height,Ridge/Trough Angularity,# of depression,Depression(s) type,Location of depression,Shape of dimple(s),Secondary Ridge Features,Surface texture location,Surface texture coverage,Overall base shape,Mound,Base width/length,Crown to base ratio,Number of Grooves,Root foramen opening shape,Root foramen location,Peduncle height:width,Crown:root angle,Base to crown connection location
Trident with Pointed Base,ODP-886-105-7H-5W-65-68cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-105-7H-5W-65-68cm-g106_obj00060_edf,60,97,28.5982,Z1.2.Denticle,A1.8 “Fan-like”,A2.0 Not a Spade/too broken to code,B1.3 Pointed (vertex),B2.1 Smooth,B3.1 Smooth,C1.3 Pointed,C2.3 Pointed margin texture,C3.1 Smooth,D1.2 one,E1.4 three,E2.2 Cusps defined by ridges,E3.1 Cusps are same length/width/shape,E4.1 x < ¼ ,"F1.2 Linear (can tell directionality-anterior/posterior, ridges only curve in a max. 1 way-not wavy)",G1.4 three,G2.4 three,G3.3 two ridge outgrowths,H1.1 Parallel,I1.3 Same as other ridges,I2.1 Straight,I3.1 Parallel,J1.1 Straight,J2.1 Parallel,K1.1 Ridges present but no central shape observed,K2.0 No central shape or too broken to code,L1.2 Ridge length=lateral length,L2.3 Clearly Defined,L3.2 equal ridge heights,L4.2 Ridge profiles or troughs are triangular,M1.1 None,M2.0 No depression or too broken to code,M3.0 No depression or too broken to code,M4.0 none or too broken to code,N1.2 No secondary ridge features,N2.0 None,N3.0 None,O1.0 Base not preserved/too broken to code,O2.0 Base not preserved/too broken to code,O3.0 Base not preserved/too broken to code,O4.0 Base not preserved/too broken to code,O5.0 Base not preserved/too broken to code,O6.0 No root opening or base not preserved/too broken to code,O7.0 Base not preserved/too broken to code,O8.0 Base not preserved/too broken to code,O9.0 Base not preserved/too broken to code,O10.0 Base not preserved/too broken to code,,,2,8,0,3,1,1,3,3,1,2,4,2,1,1,2,4,4,3,1,3,1,1,1,1,1,0,2,3,2,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Trident with Rounded Base,DSDP-596-P022-L44-2H-5W-4-6cm-g106_Hwell_N1of1,DSDP-596-P022-L44-2H-5W-4-6cm-g106_Hwell_N1of1_obj00060,60,51,22.956176,Z1.2.Denticle,A1.4 Spade,A2.1 Rounded Spade,B1.2 Rounded,B2.1 Smooth,B3.1 Smooth,C1.3 Pointed,C2.3 Pointed margin texture,C3.1 Smooth,D1.2 one,E1.1 None,E2.0 No cusps or too broken to code,E3.0 No cusps/one cusp or too broken to code,E4.0 No cusps or too broken to code,"F1.2 Linear (can tell directionality-anterior/posterior, ridges only curve in a max. 1 way-not wavy)",G1.4 three,G2.4 three,G3.1 no ridge outgrowths,H1.1 Parallel,I1.4 Distinct shape/size from other ridges,I2.1 Straight,I3.3 Triangular thinning from anterior,J1.1 Straight,J2.3 Triangular thinning from anterior,K1.1 Ridges present but no central shape observed,K2.0 No central shape or too broken to code,L1.2 Ridge length=lateral length,L2.3 Clearly Defined,L3.2 equal ridge heights,L4.1 Ridge profiles or trough are rounded,M1.1 None,M2.0 No depression or too broken to code,M3.0 No depression or too broken to code,M4.0 none or too broken to code,N1.2 No secondary ridge features,N2.0 None,N3.0 None,O1.0 Base not preserved/too broken to code,O2.0 Base not preserved/too broken to code,O3.0 Base not preserved/too broken to code,O4.0 Base not preserved/too broken to code,O5.0 Base not preserved/too broken to code,O6.0 No root opening or base not preserved/too broken to code,O7.0 Base not preserved/too broken to code,O8.0 Base not preserved/too broken to code,O9.0 Base not preserved/too broken to code,O10.0 Base not preserved/too broken to code,,,2,4,1,2,1,1,3,3,1,2,1,0,0,0,2,4,4,1,1,4,1,3,1,3,1,0,2,3,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Triple Dimpled Crown,DSDP-596-P047-M51-2H-6W-135-137cm-g106_Hwell_N1of1,DSDP-596-P047-M51-2H-6W-135-137cm-g106_obj00002,2,,37.34,Z1.2.Denticle,A1.5 Diamond/Rectangle/(Can be asymmetrical/kite-like),A2.0 Not a Spade/too broken to code,B1.4 Denticle lacks directionality/Cannot discern anterior,B2.1 Smooth,B3.2 Distinct serrated,C1.4 Denticle lacks directionality/Cannot discern posterior,C2.2 Scalloped margin texture,C3.2 Distinct serrated,D1.1 None,E1.1 None,E2.0 No cusps or too broken to code,E3.0 No cusps/one cusp or too broken to code,E4.0 No cusps or too broken to code,F1.3 Geometric (Central branching pattern),G1.8 eleven or more,G2.2 one,G3.1 no ridge outgrowths,H1.5 Ridges intesect/branch,I1.1 No central ridge,I2.0 None or too broken to code,I3.0 None or too broken to code,J1.5 Combination,J2.1 Parallel,K1.10 Multiple,K2.1 central shape but no plane of symmetry,"L1.5 Includes ridges described by a combination of 1,2, 3,",L2.3 Clearly Defined,L3.2 equal ridge heights,L4.2 Ridge profiles or troughs are triangular,M1.4 three,M2.3 Dimples (depressions surrounded by ridges),M3.2 Close to edge depression,M4.7 Multiple different shapes,N1.2 No secondary ridge features,N2.0 None,N3.0 None,O1.0 Base not preserved/too broken to code,O2.0 Base not preserved/too broken to code,O3.0 Base not preserved/too broken to code,O4.0 Base not preserved/too broken to code,O5.0 Base not preserved/too broken to code,O6.0 No root opening or base not preserved/too broken to code,O7.0 Base not preserved/too broken to code,O8.0 Base not preserved/too broken to code,O9.0 Base not preserved/too broken to code,O10.0 Base not preserved/too broken to code,,,2,5,0,4,1,2,4,2,2,1,1,0,0,0,3,8,2,1,5,1,0,0,5,1,10,1,5,3,2,2,4,3,2,7,2,0,0,0,0,0,0,0,0,0,0,0,0
Triple Ridged Petal,Scymnodon macracanthus ,"Lourtie, A., Duchatelet, L., Straube, N., Puozzo, N., Grace, M.A., Naylor, G.J. and Delroisse, J., 2022. Placoid scales in bioluminescent sharks: Scaling their evolution using morphology and elemental composition.",,657,0,Z1.2.Denticle,A1.4 Spade,A2.4 Stretched Spade,B1.3 Pointed (vertex),B2.2 Scalloped margin texture,B3.1 Smooth,C1.3 Pointed,C2.1 Smooth,C3.1 Smooth,D1.2 one,E1.1 None,E2.0 No cusps or too broken to code,E3.0 No cusps/one cusp or too broken to code,E4.0 No cusps or too broken to code,"F1.2 Linear (can tell directionality-anterior/posterior, ridges only curve in a max. 1 way-not wavy)",G1.4 three,G2.4 three,G3.1 no ridge outgrowths,H1.3 Diverges from anterior,I1.4 Distinct shape/size from other ridges,I2.1 Straight,I3.1 Parallel,J1.1 Straight,J2.1 Parallel,K1.1 Ridges present but no central shape observed,K2.0 No central shape or too broken to code,L1.2 Ridge length=lateral length,L2.3 Clearly Defined,L3.2 equal ridge heights,L4.2 Ridge profiles or troughs are triangular,M1.1 None,M2.0 No depression or too broken to code,M3.0 No depression or too broken to code,M4.0 none or too broken to code,N1.2 No secondary ridge features,N2.0 None,N3.0 None,O1.0 Base not preserved/too broken to code,O2.0 Base not preserved/too broken to code,O3.0 Base not preserved/too broken to code,O4.0 Base not preserved/too broken to code,O5.0 Base not preserved/too broken to code,O6.0 No root opening or base not preserved/too broken to code,O7.0 Base not preserved/too broken to code,O8.0 Base not preserved/too broken to code,O9.0 Base not preserved/too broken to code,O10.1 Not mounded,,,2,4,4,3,2,1,3,1,1,2,1,0,0,0,2,4,4,1,3,4,1,1,1,1,1,0,2,3,2,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
Troughed Diamond,DSDP-596-P029-L48-2H-5W-105-107cm-g106_Hwell_N1of1,DSDP-596-P029-L48-2H-5W-105-107cm-g106_Hwell_N1of1_obj00003,3,72,27.916667,Z1.2.Denticle,A1.5 Diamond/Rectangle/(Can be asymmetrical/kite-like),A2.0 Not a Spade/too broken to code,B1.4 Denticle lacks directionality/Cannot discern anterior,B2.1 Smooth,B3.1 Smooth,C1.4 Denticle lacks directionality/Cannot discern posterior,C2.1 Smooth,C3.1 Smooth,D1.2 one,E1.1 None,E2.0 No cusps or too broken to code,E3.0 No cusps/one cusp or too broken to code,E4.0 No cusps or too broken to code,"F1.2 Linear (can tell directionality-anterior/posterior, ridges only curve in a max. 1 way-not wavy)",G1.3 two,G2.3 two,G3.3 two ridge outgrowths,H1.4 Diverges then converges,I1.2 Only one Ridge,I2.1 Straight,I3.5 Creates a Central Trough,J1.0 None/only one ridge or too broken to code,J2.0 None or too broken to code,K1.1 Ridges present but no central shape observed,K2.0 No central shape or too broken to code,L1.2 Ridge length=lateral length,L2.3 Clearly Defined,L3.2 equal ridge heights,L4.2 Ridge profiles or troughs are triangular,M1.1 None,M2.0 No depression or too broken to code,M3.0 No depression or too broken to code,M4.0 none or too broken to code,N1.2 No secondary ridge features,N2.0 None,N3.0 None,O1.0 Base not preserved/too broken to code,O2.0 Base not preserved/too broken to code,O3.0 Base not preserved/too broken to code,O4.0 Base not preserved/too broken to code,O5.0 Base not preserved/too broken to code,O6.0 No root opening or base not preserved/too broken to code,O7.0 Base not preserved/too broken to code,O8.0 Base not preserved/too broken to code,O9.0 Base not preserved/too broken to code,O10.0 Base not preserved/too broken to code,,,2,5,0,4,1,1,4,1,1,2,1,0,0,0,2,3,3,3,4,2,1,5,0,0,1,0,2,3,2,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Tunnel,Etmopterus pusillus,"Feichtinger, I., Adnet, S., Cuny, G., Guinot, G., Kriwet, J., Neubauer, T. A., ... & Harzhauser, M. (2021)",J1,684,0,Z1.2.Denticle,A1.6 Elongated Asymmetrical,A2.0 Not a Spade/too broken to code,B1.2 Rounded,B2.1 Smooth,B3.1 Smooth,C1.1 Straight,C2.1 Smooth,C3.1 Smooth,D1.1 None,E1.1 None,E2.0 No cusps or too broken to code,E3.0 No cusps/one cusp or too broken to code,E4.0 No cusps or too broken to code,F1.3 Geometric (Central branching pattern),G1.1 None,G2.1 None,G3.1 no ridge outgrowths,H1.0 Only one Ridge/No Ridges or too broken to code,I1.0 No ridges or too broken to code,I2.0 None or too broken to code,I3.0 None or too broken to code,J1.0 None/only one ridge or too broken to code,J2.0 None or too broken to code,K1.0 No Ridges or too broken to code,K2.0 No central shape or too broken to code,L1.1 No ridges,L2.0 No Ridges or too broken to code,L3.0 None or too broken to code,L4.0 No ridges or too broken to code,M1.2 one,M2.1 Thumbprint (surface layer),M3.1 Central depression,M4.0 none or too broken to code,N1.1 No Ridges,N2.0 None,N3.0 None,O1.0 Base not preserved/too broken to code,O2.0 Base not preserved/too broken to code,O3.0 Base not preserved/too broken to code,O4.0 Base not preserved/too broken to code,O5.0 Base not preserved/too broken to code,O6.0 No root opening or base not preserved/too broken to code,O7.0 Base not preserved/too broken to code,O8.0 Base not preserved/too broken to code,O9.0 Base not preserved/too broken to code,O10.0 Base not preserved/too broken to code,,,2,6,0,2,1,1,1,1,1,1,1,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Two Big Lobes,DSDP-596-P047-M51-2H-6W-135-137cm-g106_Hwell_N1of1,DSDP-596-P047-M51-2H-6W-135-137cm-g106_obj00003,3,,37.34,Z1.2.Denticle,A1.3 Circular or oval,A2.0 Not a Spade/too broken to code,B1.2 Rounded,B2.1 Smooth,B3.1 Smooth,C1.3 Pointed,C2.1 Smooth,C3.1 Smooth,D1.1 None,E1.1 None,E2.0 No cusps or too broken to code,E3.0 No cusps/one cusp or too broken to code,E4.0 No cusps or too broken to code,"F1.2 Linear (can tell directionality-anterior/posterior, ridges only curve in a max. 1 way-not wavy)",G1.4 three,G2.3 two,G3.1 no ridge outgrowths,H1.4 Diverges then converges,I1.4 Distinct shape/size from other ridges,I2.1 Straight,I3.5 Creates a Central Trough,J1.2 Concave Curved,J2.1 Parallel,K1.1 Ridges present but no central shape observed,K2.0 No central shape or too broken to code,L1.2 Ridge length=lateral length,L2.3 Clearly Defined,L3.2 equal ridge heights,L4.1 Ridge profiles or trough are rounded,M1.1 None,M2.0 No depression or too broken to code,M3.0 No depression or too broken to code,M4.0 none or too broken to code,N1.2 No secondary ridge features,N2.0 None,N3.0 None,O1.0 Base not preserved/too broken to code,O2.0 Base not preserved/too broken to code,O3.0 Base not preserved/too broken to code,O4.0 Base not preserved/too broken to code,O5.0 Base not preserved/too broken to code,O6.0 No root opening or base not preserved/too broken to code,O7.0 Base not preserved/too broken to code,O8.0 Base not preserved/too broken to code,O9.0 Base not preserved/too broken to code,O10.0 Base not preserved/too broken to code,,,2,3,0,2,1,1,3,1,1,1,1,0,0,0,2,4,3,1,4,4,1,5,2,1,1,0,2,3,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Two Dimpled Fan,DSDP-596-P025-L45-2H-5W-32-34cm-g106_Hwell_N1of1,DSDP-596-P025-L45-2H-5W-32-34cm-g106_Hwell_N1of1_obj00008,8,60,24.155385,Z1.2.Denticle,A1.8 “Fan-like”,A2.0 Not a Spade/too broken to code,B1.4 Denticle lacks directionality/Cannot discern anterior,B2.2 Scalloped margin texture,B3.1 Smooth,C1.4 Denticle lacks directionality/Cannot discern posterior,C2.2 Scalloped margin texture,C3.1 Smooth,D1.2 one,E1.1 None,E2.0 No cusps or too broken to code,E3.0 No cusps/one cusp or too broken to code,E4.0 No cusps or too broken to code,F1.3 Geometric (Central branching pattern),G1.8 eleven or more,G2.2 one,G3.1 no ridge outgrowths,H1.5 Ridges intesect/branch,I1.4 Distinct shape/size from other ridges,I2.3 Meandering,I3.6 Irregular,J1.5 Combination,J2.1 Parallel,K1.10 Multiple,K2.1 central shape but no plane of symmetry,"L1.5 Includes ridges described by a combination of 1,2, 3,",L2.3 Clearly Defined,L3.3 Variable ridge height,L4.5 Ridge profiles or troughs are rectangular,M1.3 two,M2.3 Dimples (depressions surrounded by ridges),M3.1 Central depression,M4.6 Irregular,N1.2 No secondary ridge features,N2.0 None,N3.0 None,O1.0 Base not preserved/too broken to code,O2.0 Base not preserved/too broken to code,O3.0 Base not preserved/too broken to code,O4.0 Base not preserved/too broken to code,O5.0 Base not preserved/too broken to code,O6.0 No root opening or base not preserved/too broken to code,O7.0 Base not preserved/too broken to code,O8.0 Base not preserved/too broken to code,O9.0 Base not preserved/too broken to code,O10.0 Base not preserved/too broken to code,,,2,8,0,4,2,1,4,2,1,2,1,0,0,0,3,8,2,1,5,4,3,6,5,1,10,1,5,3,3,5,3,3,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0
Two Dimpled Fan with Tail,DSDP-596-P026-M08-2H-5W-42-44cm-g106_Hwell_N1of1,DSDP-596-P026-M08-2H-5W-42-44cm-g106_Hwell_N1of1_obj00006,6,66,24.668205,Z1.2.Denticle,A1.8 “Fan-like”,A2.0 Not a Spade/too broken to code,B1.3 Pointed (vertex),B2.4 anterior is a vertex,B3.1 Smooth,C1.2 Rounded,C2.1 Smooth,C3.1 Smooth,D1.2 one,E1.1 None,E2.0 No cusps or too broken to code,E3.0 No cusps/one cusp or too broken to code,E4.0 No cusps or too broken to code,F1.3 Geometric (Central branching pattern),G1.7 six-ten,G2.2 one,G3.1 no ridge outgrowths,H1.5 Ridges intesect/branch,I1.4 Distinct shape/size from other ridges,I2.1 Straight,I3.1 Parallel,J1.1 Straight,J2.1 Parallel,K1.10 Multiple,K2.1 central shape but no plane of symmetry,"L1.5 Includes ridges described by a combination of 1,2, 3,",L2.3 Clearly Defined,L3.2 equal ridge heights,L4.2 Ridge profiles or troughs are triangular,M1.3 two,M2.3 Dimples (depressions surrounded by ridges),M3.2 Close to edge depression,M4.3 Teardrop (smooth curve),N1.2 No secondary ridge features,N2.0 None,N3.0 None,O1.0 Base not preserved/too broken to code,O2.0 Base not preserved/too broken to code,O3.0 Base not preserved/too broken to code,O4.0 Base not preserved/too broken to code,O5.0 Base not preserved/too broken to code,O6.0 No root opening or base not preserved/too broken to code,O7.0 Base not preserved/too broken to code,O8.0 Base not preserved/too broken to code,O9.0 Base not preserved/too broken to code,O10.0 Base not preserved/too broken to code,,,2,8,0,3,4,1,2,1,1,2,1,0,0,0,3,7,2,1,5,4,1,1,1,1,10,1,5,3,2,2,3,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0
Two Dimpled Rectangle,ODP-886-085-7H-4W-110-113cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-085-7H-4W-110-113cm-g106_obj00013_edf,13,73,25.7916,Z1.2.Denticle,A1.5 Diamond/Rectangle/(Can be asymmetrical/kite-like),A2.0 Not a Spade/too broken to code,B1.4 Denticle lacks directionality/Cannot discern anterior,B2.1 Smooth,B3.1 Smooth,C1.4 Denticle lacks directionality/Cannot discern posterior,C2.1 Smooth,C3.1 Smooth,D1.1 None,E1.1 None,E2.0 No cusps or too broken to code,E3.0 No cusps/one cusp or too broken to code,E4.0 No cusps or too broken to code,F1.3 Geometric (Central branching pattern),G1.7 six-ten,G2.2 one,G3.1 no ridge outgrowths,H1.5 Ridges intesect/branch,I1.1 No central ridge,I2.0 None or too broken to code,I3.0 None or too broken to code,J1.5 Combination,J2.1 Parallel,K1.10 Multiple,K2.1 central shape but no plane of symmetry,"L1.5 Includes ridges described by a combination of 1,2, 3,",L2.3 Clearly Defined,L3.2 equal ridge heights,L4.2 Ridge profiles or troughs are triangular,M1.3 two,M2.3 Dimples (depressions surrounded by ridges),M3.2 Close to edge depression,M4.3 Teardrop (smooth curve),N1.2 No secondary ridge features,N2.0 None,N3.0 None,O1.0 Base not preserved/too broken to code,O2.0 Base not preserved/too broken to code,O3.0 Base not preserved/too broken to code,O4.0 Base not preserved/too broken to code,O5.0 Base not preserved/too broken to code,O6.0 No root opening or base not preserved/too broken to code,O7.0 Base not preserved/too broken to code,O8.0 Base not preserved/too broken to code,O9.0 Base not preserved/too broken to code,O10.0 Base not preserved/too broken to code,,,2,5,0,4,1,1,4,1,1,1,1,0,0,0,3,7,2,1,5,1,0,0,5,1,10,1,5,3,2,2,3,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0
Two Ridged Trident,Scymnodon macracanthus,"B. Vaz, D. F. (2021)",14.d,597,0,Z1.2.Denticle,A1.4 Spade,A2.3 Pointed Spade,B1.2 Rounded,B2.1 Smooth,B3.1 Smooth,C1.3 Pointed,C2.3 Pointed margin texture,C3.1 Smooth,D1.2 one,E1.4 three,E2.3 Some cusps defined by ridges,E3.2 Central cusp is distinct,E4.3 ½ < x,"F1.2 Linear (can tell directionality-anterior/posterior, ridges only curve in a max. 1 way-not wavy)",G1.3 two,G2.3 two,G3.1 no ridge outgrowths,H1.3 Diverges from anterior,I1.1 No central ridge,I2.0 None or too broken to code,I3.0 None or too broken to code,J1.2 Concave Curved,J2.1 Parallel,K1.1 Ridges present but no central shape observed,K2.0 No central shape or too broken to code,L1.2 Ridge length=lateral length,L2.3 Clearly Defined,L3.2 equal ridge heights,L4.2 Ridge profiles or troughs are triangular,M1.2 one,M2.1 Thumbprint (surface layer),M3.2 Close to edge depression,M4.0 none or too broken to code,N1.2 No secondary ridge features,N2.0 None,N3.0 None,O1.0 Base not preserved/too broken to code,O2.0 Base not preserved/too broken to code,O3.0 Base not preserved/too broken to code,O4.0 Base not preserved/too broken to code,O5.0 Base not preserved/too broken to code,O6.0 No root opening or base not preserved/too broken to code,O7.0 Base not preserved/too broken to code,O8.1 Perpendicular,O9.0 Base not preserved/too broken to code,O10.1 Not mounded,,,2,4,3,2,1,1,3,3,1,2,4,3,2,3,2,3,3,1,3,1,0,0,2,1,1,0,2,3,2,2,2,1,2,0,2,0,0,0,0,0,0,0,0,0,1,0,1
Two Ridged Troughed Trident,Mustelus_henlei,Castro,Pg. 374,94,0,Z1.2.Denticle,A1.4 Spade,A2.3 Pointed Spade,B1.2 Rounded,B2.2 Scalloped margin texture,B3.1 Smooth,C1.3 Pointed,C2.3 Pointed margin texture,C3.1 Smooth,D1.2 one,E1.4 three,E2.3 Some cusps defined by ridges,E3.2 Central cusp is distinct,E4.2 ¼ <x<½,"F1.2 Linear (can tell directionality-anterior/posterior, ridges only curve in a max. 1 way-not wavy)",G1.3 two,G2.3 two,G3.1 no ridge outgrowths,H1.4 Diverges then converges,I1.1 No central ridge,I2.1 Straight,I3.5 Creates a Central Trough,J1.0 None/only one ridge or too broken to code,J2.0 None or too broken to code,K1.1 Ridges present but no central shape observed,K2.0 No central shape or too broken to code,L1.2 Ridge length=lateral length,L2.3 Clearly Defined,L3.2 equal ridge heights,L4.5 Ridge profiles or troughs are rectangular,M1.1 None,M2.0 No depression or too broken to code,M3.0 No depression or too broken to code,M4.0 none or too broken to code,N1.2 No secondary ridge features,N2.0 None,N3.0 None,O1.0 Base not preserved/too broken to code,O2.0 Base not preserved/too broken to code,O3.0 Base not preserved/too broken to code,O4.0 Base not preserved/too broken to code,O5.0 Base not preserved/too broken to code,O6.0 No root opening or base not preserved/too broken to code,O7.0 Base not preserved/too broken to code,O8.0 Base not preserved/too broken to code,O9.0 Base not preserved/too broken to code,O10.0 Base not preserved/too broken to code,,,2,4,3,2,2,1,3,3,1,2,4,3,2,2,2,3,3,1,4,1,1,5,0,0,1,0,2,3,2,5,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Two Ridged Wedge,DSDP-596-P043-M43-2H-6W-95-97cm-g106_Hwell_N1of1,DSDP-596-P043-M43-2H-6W-95-97cm-g106_obj00008,8,,35.34,Z1.2.Denticle,A1.9 Triangular or Arrow-like,A2.0 Not a Spade/too broken to code,B1.4 Denticle lacks directionality/Cannot discern anterior,B2.1 Smooth,B3.1 Smooth,C1.4 Denticle lacks directionality/Cannot discern posterior,C2.4 Posterior is a vertex,C3.1 Smooth,D1.1 None,E1.1 None,E2.0 No cusps or too broken to code,E3.0 No cusps/one cusp or too broken to code,E4.0 No cusps or too broken to code,"F1.2 Linear (can tell directionality-anterior/posterior, ridges only curve in a max. 1 way-not wavy)",G1.3 two,G2.3 two,G3.1 no ridge outgrowths,H1.7 Irregular/no discernable anterior/posterior,I1.1 No central ridge,I2.0 None or too broken to code,I3.0 None or too broken to code,J1.1 Straight,J2.1 Parallel,K1.1 Ridges present but no central shape observed,K2.0 No central shape or too broken to code,L1.2 Ridge length=lateral length,L2.3 Clearly Defined,L3.2 equal ridge heights,L4.5 Ridge profiles or troughs are rectangular,M1.1 None,M2.0 No depression or too broken to code,M3.0 No depression or too broken to code,M4.0 none or too broken to code,N1.2 No secondary ridge features,N2.0 None,N3.0 None,O1.0 Base not preserved/too broken to code,O2.0 Base not preserved/too broken to code,O3.0 Base not preserved/too broken to code,O4.0 Base not preserved/too broken to code,O5.0 Base not preserved/too broken to code,O6.0 No root opening or base not preserved/too broken to code,O7.0 Base not preserved/too broken to code,O8.0 Base not preserved/too broken to code,O9.0 Base not preserved/too broken to code,O10.0 Base not preserved/too broken to code,,,2,9,0,4,1,1,4,4,1,1,1,0,0,0,2,3,3,1,7,1,0,0,1,1,1,0,2,3,2,5,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
